,name,address,lat,lng,type
18,SUKOLILO,"JALAN SUKOLILO SURABAYA, JAWA TIMUR",-7.296363,112.775934,KANTOR KECAMATAN
30,WONOKROMO,"JALAN WONOKROMO SURABAYA, JAWA TIMUR",-7.290106,112.724932,KANTOR KECAMATAN
4,TEGALSARI,"JALAN TEGALSARI SURABAYA, JAWA TIMUR",-7.28478,112.748822,KANTOR KECAMATAN
27,SAWAHAN,"JALAN SAWAHAN SURABAYA, JAWA TIMUR",-7.28265,112.722382,KANTOR KECAMATAN
14,GUBENG,"JALAN GUBENG SURABAYA, JAWA TIMUR",-7.270275,112.758496,KANTOR KECAMATAN
19,TAMBAKSARI,"JALAN TAMBAKSARI SURABAYA, JAWA TIMUR",-7.254907,112.759354,KANTOR KECAMATAN
1,BUBUTAN,"JALAN BUBUTAN SURABAYA, JAWA TIMUR",-7.249883,112.737467,KANTOR KECAMATAN
3,SIMOKERTO,"JALAN SIMOKERTO SURABAYA, JAWA TIMUR",-7.24205,112.761414,KANTOR KECAMATAN
7,BULAK,"JALAN BULAK SURABAYA, JAWA TIMUR",-7.229393,112.790564,KANTOR KECAMATAN
2,GENTENG,"JALAN GENTENG SURABAYA, JAWA TIMUR",,,
5,,"JALAN  SURABAYA, JAWA TIMUR",,,
6,,"JALAN  SURABAYA, JAWA TIMUR",,,
8,KENJERAN,"JALAN KENJERAN SURABAYA, JAWA TIMUR",,,
9,KREMBANGAN,"JALAN KREMBANGAN SURABAYA, JAWA TIMUR",,,
10,PABEAN CANTIAN,"JALAN PABEAN CANTIAN SURABAYA, JAWA TIMUR",,,
11,SEMAMPIR,"JALAN SEMAMPIR SURABAYA, JAWA TIMUR",,,
12,,"JALAN  SURABAYA, JAWA TIMUR",,,
13,,"JALAN  SURABAYA, JAWA TIMUR",,,
15,GUNUNG ANYAR,"JALAN GUNUNG ANYAR SURABAYA, JAWA TIMUR",,,
16,MULYOREJO,"JALAN MULYOREJO SURABAYA, JAWA TIMUR",,,
17,RUNGKUT,"JALAN RUNGKUT SURABAYA, JAWA TIMUR",,,
20,TENGGILIS MEJOYO,"JALAN TENGGILIS MEJOYO SURABAYA, JAWA TIMUR",,,
21,,"JALAN  SURABAYA, JAWA TIMUR",,,
22,,"JALAN  SURABAYA, JAWA TIMUR",,,
23,DUKUH PAKIS,"JALAN DUKUH PAKIS SURABAYA, JAWA TIMUR",,,
24,GAYUNGAN,"JALAN GAYUNGAN SURABAYA, JAWA TIMUR",,,
25,JAMBANGAN,"JALAN JAMBANGAN SURABAYA, JAWA TIMUR",,,
26,KARANG PILANG,"JALAN KARANG PILANG SURABAYA, JAWA TIMUR",,,
28,WIYUNG,"JALAN WIYUNG SURABAYA, JAWA TIMUR",,,
29,WONOCOLO,"JALAN WONOCOLO SURABAYA, JAWA TIMUR",,,
31,,"JALAN  SURABAYA, JAWA TIMUR",,,
32,,"JALAN  SURABAYA, JAWA TIMUR",,,
33,ASEM ROWO,"JALAN ASEM ROWO SURABAYA, JAWA TIMUR",,,
34,BENOWO,"JALAN BENOWO SURABAYA, JAWA TIMUR",,,
35,LAKARSANTRI,"JALAN LAKARSANTRI SURABAYA, JAWA TIMUR",,,
36,PAKAL,"JALAN PAKAL SURABAYA, JAWA TIMUR",,,
37,SAMBIKEREP,"JALAN SAMBIKEREP SURABAYA, JAWA TIMUR",,,
38,SUKO MANUNGGAL,"JALAN SUKO MANUNGGAL SURABAYA, JAWA TIMUR",,,
39,TANDES,"JALAN TANDES SURABAYA, JAWA TIMUR",,,