id_dokumen,id_kelurahan,kk,ktp_L,lahir_P,nikah_L ,cerai_P ,mati_L,ktp_P,lahir_L,nikah_P,cerai_L,mati_P,update
1,1,2944,3251,3113,1700,1591,2043,1924,20,21,0,0,2017-11-30
2,2,9205,9980,10383,4976,4813,6069,6100,53,128,0,0,2017-11-30
3,3,8403,9069,9469,4647,4648,5236,5106,72,105,0,0,2017-11-30
4,4,2733,3028,2993,1976,1867,1518,1506,9,19,0,0,2017-11-30
5,5,4040,4544,4611,3764,3561,2675,2536,44,80,0,0,2017-11-30
6,6,5248,5757,5993,4866,4783,3423,3224,89,109,0,0,2017-11-30
7,7,3610,3961,4183,2674,2647,2509,2387,59,88,0,0,2017-11-30
8,8,6900,7633,7958,6002,6059,4578,4459,99,167,0,0,2017-11-30
9,9,5358,5878,6017,4073,4010,3704,3582,80,122,0,0,2017-11-30
10,10,7437,8000,8323,5672,5497,5205,5166,128,186,0,0,2017-11-30
11,11,4275,4663,4952,3670,3614,3118,3087,75,123,0,0,2017-11-30
12,12,5055,5604,5849,3844,3715,4081,4022,79,120,0,0,2017-11-30
13,13,5750,6276,6664,3802,3761,4068,4155,91,173,0,0,2017-11-30
14,14,5003,5367,5664,4118,4011,3776,3809,71,135,0,0,2017-11-30
15,15,7618,8341,8534,5828,5668,5680,5628,124,201,0,0,2017-11-30
16,16,13062,13261,14111,7721,7597,10832,11179,286,414,0,0,2017-11-30
17,17,6848,7051,7385,4065,3852,5982,5999,141,218,0,0,2017-11-30
18,18,4028,4089,4286,2862,2816,3120,3166,87,138,0,0,2017-11-30
19,19,14020,14076,15065,8586,8218,10351,10591,269,399,0,0,2017-11-30
20,20,5361,5233,5798,3647,3755,3719,3933,115,157,0,0,2017-11-30
21,21,8957,9254,9715,5898,5719,7322,7262,194,278,0,0,2017-11-30
22,22,5941,6227,6391,3708,3451,3452,3450,93,126,0,0,2017-11-30
23,23,5680,5932,6444,2841,2776,2932,2976,99,144,0,0,2017-11-30
24,24,8042,8348,8733,4910,4635,4344,4374,137,173,0,0,2017-11-30
25,25,5254,5627,5834,3616,3515,2785,2771,79,97,0,0,2017-11-30
26,26,8823,9274,9695,5199,4964,4505,4409,131,191,0,0,2017-11-30
27,27,12057,12917,13891,10717,10799,5415,5410,220,292,0,0,2017-11-30
28,28,6484,6983,7286,4814,4762,2805,2813,129,181,0,0,2017-11-30
29,29,12631,13620,13933,10474,10275,6925,7009,241,349,0,0,2017-11-30
30,30,13809,15255,15638,9535,9207,8483,8626,303,434,0,0,2017-11-30
31,31,7441,8206,8867,5596,5622,4095,4201,118,199,0,0,2017-11-30
32,32,11662,12824,13455,6707,6362,6945,7063,247,333,0,0,2017-11-30
33,33,4067,4408,4492,2879,2817,3006,2962,80,87,0,0,2017-11-30
34,34,2836,2915,3177,1492,1490,2021,2076,65,79,0,0,2017-11-30
35,35,5577,5842,5989,3235,3064,4231,4290,80,125,0,0,2017-11-30
36,36,2437,2640,2885,1163,1115,1737,1806,56,65,0,0,2017-11-30
37,37,4945,5182,5459,2562,2544,3737,3835,90,124,0,0,2017-11-30
38,38,4957,5127,5418,3759,3745,3477,3397,106,130,0,0,2017-11-30
39,39,15296,15713,16736,11457,11207,10621,10765,276,375,0,0,2017-11-30
40,40,7019,7021,7749,5479,5535,4411,4503,131,182,0,0,2017-11-30
41,41,8429,8698,9338,7440,7416,5865,5911,179,276,0,0,2017-11-30
42,42,5482,5569,6233,4294,4480,3733,3900,108,159,0,0,2017-11-30
43,43,4944,5070,5498,3585,3691,3344,3344,103,147,0,0,2017-11-30
44,44,4906,5579,5633,3070,2921,3060,3150,64,109,0,0,2017-11-30
45,45,2244,2523,2599,2045,2058,1279,1315,19,35,0,0,2017-11-30
46,46,5471,6003,6293,3635,3597,2986,3014,91,129,0,0,2017-11-30
47,47,5195,5710,6060,4650,4680,2787,2940,100,157,0,0,2017-11-30
48,48,4842,5271,5469,3146,3151,2843,2914,100,115,0,0,2017-11-30
49,49,6037,6756,7037,3405,3270,3511,3560,108,176,0,0,2017-11-30
50,50,5672,6360,6465,3515,3365,3267,3335,93,137,0,0,2017-11-30
51,51,6681,6979,7394,4798,4835,3331,3193,100,140,0,0,2017-11-30
52,52,11328,11944,12636,8858,8521,6436,6322,209,276,0,0,2017-11-30
53,53,9644,10149,10640,6694,6411,5516,5546,180,223,0,0,2017-11-30
54,54,12982,13535,14160,8444,7935,7288,7287,231,296,0,0,2017-11-30
55,55,5838,6115,6421,5077,5149,2997,2961,89,114,0,0,2017-11-30
56,56,7696,7733,8468,5573,5722,3898,3885,148,215,0,0,2017-11-30
57,57,12016,13246,13224,8253,7681,6795,6799,174,242,0,0,2017-11-30
58,58,6465,7076,7248,5478,5346,4186,4162,96,168,0,0,2017-11-30
59,59,7489,7657,8248,6264,6206,5896,5591,121,177,0,0,2017-11-30
60,60,5223,5553,5728,3054,2998,4230,4060,67,120,0,0,2017-11-30
61,61,5414,5739,5817,3025,2788,4297,4104,68,98,0,0,2017-11-30
62,62,7054,7434,7432,5369,5037,5889,5695,79,125,0,0,2017-11-30
63,63,6543,6943,6976,4737,4553,5368,5015,124,152,0,0,2017-11-30
64,64,3754,3818,4011,2798,2832,2291,2264,50,80,0,0,2017-11-30
65,65,2877,3092,3199,1520,1507,1715,1722,38,61,0,0,2017-11-30
66,66,5782,6159,6345,2928,2731,3583,3576,64,91,0,0,2017-11-30
67,67,4707,5084,5068,2895,2574,3023,2924,78,115,0,0,2017-11-30
68,68,8758,9517,9471,6282,6078,5402,5196,124,198,0,0,2017-11-30
69,69,2481,2395,2667,1582,1566,1417,1464,39,60,0,0,2017-11-30
70,70,4701,4882,5104,3869,3789,2944,2944,87,113,0,0,2017-11-30
71,71,9203,9823,9840,6288,5917,6571,6421,168,234,0,0,2017-11-30
72,72,8353,8819,8912,6177,5881,5714,5644,102,190,0,0,2017-11-30
73,73,8632,8892,9460,7463,7442,6173,6136,179,240,0,0,2017-11-30
74,74,3010,3307,3448,1786,1720,2789,2745,44,79,0,0,2017-11-30
75,75,4536,5069,5196,2899,2577,3799,3757,77,127,0,0,2017-11-30
76,76,3060,3258,3423,2004,1914,2640,2687,35,76,0,0,2017-11-30
77,77,11948,12641,13648,6774,6497,10824,10832,179,289,0,0,2017-11-30
78,78,2817,3107,3112,1863,1704,2596,2523,40,78,0,0,2017-11-30
79,79,3547,3776,3885,2161,1984,3093,2941,42,80,0,0,2017-11-30
80,80,4748,4946,5171,2857,2718,2606,2652,71,105,0,0,2017-11-30
81,81,5892,6221,6413,3587,3377,3219,3362,73,113,0,0,2017-11-30
82,82,5201,5593,5926,2927,2983,2814,2923,100,120,0,0,2017-11-30
83,83,7615,8065,8223,4094,3742,4551,4610,118,165,0,0,2017-11-30
84,84,13755,14917,14942,8607,7816,8821,8967,185,261,0,0,2017-11-30
85,85,5928,6504,6809,3099,2889,2989,3163,79,114,0,0,2017-11-30
86,86,9370,10521,10258,5892,5393,4938,4901,98,142,0,0,2017-11-30
87,87,20898,22765,22076,15270,14200,11291,11457,257,327,0,0,2017-11-30
88,88,9385,10749,10478,8169,7566,5149,5151,63,93,0,0,2017-11-30
89,89,9654,10875,10501,5860,5344,5453,5646,85,147,0,0,2017-11-30
90,90,16379,18352,18270,10096,9607,10963,11264,278,351,0,0,2017-11-30
91,91,17041,19325,18999,10191,9553,11043,11476,253,319,0,0,2017-11-30
92,92,8940,10334,9930,5790,5237,6525,6772,101,162,0,0,2017-11-30
93,93,4495,4978,4974,3378,3234,3403,3477,61,87,0,0,2017-11-30
94,94,2607,2884,2958,2165,2184,1714,1661,39,57,0,0,2017-11-30
95,95,2574,2739,2720,1739,1634,1690,1608,51,77,0,0,2017-11-30
96,96,2489,2679,2649,2464,2342,1865,1648,33,44,0,0,2017-11-30
97,97,5238,5451,5733,3535,3177,3399,3435,89,125,0,0,2017-11-30
98,98,3457,3700,3812,3489,3433,2062,1986,44,64,0,0,2017-11-30
99,99,1601,1722,1695,904,833,1124,1089,25,25,0,0,2017-11-30
100,100,6618,7253,7409,5912,5674,6033,5835,111,180,0,0,2017-11-30
101,101,10439,11296,11475,9580,9308,9307,9002,185,293,0,0,2017-11-30
102,102,1116,1228,1237,800,733,1070,1044,12,21,0,0,2017-11-30
103,103,734,813,796,536,480,712,656,4,14,0,0,2017-11-30
104,104,5589,6266,6343,3451,3358,4684,4632,99,158,0,0,2017-11-30
105,105,3580,3744,3914,3787,3734,3129,3032,94,100,0,0,2017-11-30
106,106,8742,9566,9936,7349,6970,6792,6796,159,237,0,0,2017-11-30
107,107,4002,4528,4520,2960,2765,3662,3486,66,99,0,0,2017-11-30
108,108,4719,5122,5326,3144,2908,3459,3392,96,141,0,0,2017-11-30
109,109,5126,5494,5853,3557,3463,3428,3364,76,155,0,0,2017-11-30
110,110,4655,5036,5156,3885,3710,2961,2835,80,118,0,0,2017-11-30
111,111,4833,5374,5678,3515,3425,3553,3580,79,130,0,0,2017-11-30
112,112,5027,5420,5745,3252,3133,3445,3261,45,78,0,0,2017-11-30
113,113,3099,3288,3557,1422,1457,1962,1978,30,59,0,0,2017-11-30
114,114,2720,2919,2952,1837,1638,2314,2209,37,59,0,0,2017-11-30
115,115,3757,4017,4252,2467,2424,2930,2771,42,81,0,0,2017-11-30
116,116,3312,3575,3686,2207,2159,2349,2378,51,79,0,0,2017-11-30
117,117,5010,5365,5618,3481,3336,3484,3425,93,133,0,0,2017-11-30
118,118,3371,3696,3777,2011,1976,2454,2468,71,68,0,0,2017-11-30
119,119,4204,4557,4627,1989,1925,2775,2799,72,109,0,0,2017-11-30
120,120,6059,6536,6918,3967,3812,5124,5114,99,170,0,0,2017-11-30
121,121,4745,5271,5369,2786,2569,3793,3549,58,102,0,0,2017-11-30
122,122,3511,3728,3997,2150,2069,2922,2939,47,105,0,0,2017-11-30
123,123,4165,4465,4649,3076,2984,3329,3204,65,101,0,0,2017-11-30
124,124,6253,6765,6957,5336,5196,4287,4136,118,181,0,0,2017-11-30
125,125,4142,4620,4755,3619,3415,2602,2577,55,86,0,0,2017-11-30
126,126,4310,4586,4907,3860,3883,2653,2637,77,113,0,0,2017-11-30
127,127,2872,3046,3202,2123,2095,1980,1950,49,80,0,0,2017-11-30
128,128,5686,6151,6597,3294,3204,3480,3634,95,132,0,0,2017-11-30
129,129,5576,6008,6360,3446,3169,3664,3927,89,133,0,0,2017-11-30
130,130,2097,2230,2314,2075,2037,1143,1169,27,41,0,0,2017-11-30
131,131,4841,5094,5535,2773,2682,3049,3247,90,147,0,0,2017-11-30
132,132,5241,5743,6076,2955,3087,3485,3693,87,144,0,0,2017-11-30
133,133,4305,4608,4806,3351,3235,2876,2798,85,116,0,0,2017-11-30
134,134,3434,3807,3785,2070,1892,2536,2435,50,87,0,0,2017-11-30
135,135,3894,4305,4606,2601,2573,3016,3155,52,99,0,0,2017-11-30
136,136,2736,2967,3184,1752,1836,2102,2109,54,77,0,0,2017-11-30
137,137,2128,2294,2361,1103,1141,1641,1633,30,64,0,0,2017-11-30
138,138,7423,7961,8246,4741,4588,5343,5180,123,190,0,0,2017-11-30
139,139,12636,13798,13913,9458,9152,9256,8928,212,321,0,0,2017-11-30
140,140,9158,10384,10068,6354,5988,4703,4375,12,47,0,0,2017-11-30
141,141,2302,2562,2489,2043,1883,1493,1477,5,13,0,0,2017-11-30
142,142,2162,2408,2361,1749,1659,1025,891,9,6,0,0,2017-11-30
143,143,1759,1872,1875,1580,1543,1255,1236,24,22,0,0,2017-11-30
144,144,2038,2165,2224,1345,1254,1458,1450,35,58,0,0,2017-11-30
145,145,6230,6633,6750,4090,3914,4989,4865,107,157,0,0,2017-11-30
146,146,3325,3527,3662,2672,2794,2127,2052,54,72,0,0,2017-11-30
147,147,2712,3018,3018,2443,2313,1843,1662,28,50,0,0,2017-11-30
148,148,6931,7826,7893,5980,5704,4525,4193,76,116,0,0,2017-11-30
149,149,3249,3672,3610,2509,2252,2170,1990,28,59,0,0,2017-11-30
150,150,3172,3565,3539,3719,3573,1594,1455,27,49,0,0,2017-11-30
151,151,6309,6743,7124,4287,4133,4906,4715,63,128,0,0,2017-11-30
152,152,2735,2979,2949,1334,1223,2227,2011,21,40,0,0,2017-11-30
153,153,1558,1706,1725,903,867,1262,1195,20,21,0,0,2017-11-30
154,154,8864,9697,9924,5490,5177,6710,6342,98,158,0,0,2017-11-30
155,1,2944,3251,3113,1700,1591,2043,1924,20,21,0,0,2017-12-30
156,2,9205,9980,10383,4976,4813,6069,6100,53,128,0,0,2017-12-30
157,3,8403,9069,9469,4647,4648,5236,5106,72,105,0,0,2017-12-30
158,4,2733,3028,2993,1976,1867,1518,1506,9,19,0,0,2017-12-30
159,5,4040,4544,4611,3764,3561,2675,2536,44,80,0,0,2017-12-30
160,6,5248,5757,5993,4866,4783,3423,3224,89,109,0,0,2017-12-30
161,7,3610,3961,4183,2674,2647,2509,2387,59,88,0,0,2017-12-30
162,8,6900,7633,7958,6002,6059,4578,4459,99,167,0,0,2017-12-30
163,9,5358,5878,6017,4073,4010,3704,3582,80,122,0,0,2017-12-30
164,10,7437,8000,8323,5672,5497,5205,5166,128,186,0,0,2017-12-30
165,11,4275,4663,4952,3670,3614,3118,3087,75,123,0,0,2017-12-30
166,12,5055,5604,5849,3844,3715,4081,4022,79,120,0,0,2017-12-30
167,13,5750,6276,6664,3802,3761,4068,4155,91,173,0,0,2017-12-30
168,14,5003,5367,5664,4118,4011,3776,3809,71,135,0,0,2017-12-30
169,15,7618,8341,8534,5828,5668,5680,5628,124,201,0,0,2017-12-30
170,16,13062,13261,14111,7721,7597,10832,11179,286,414,0,0,2017-12-30
171,17,6848,7051,7385,4065,3852,5982,5999,141,218,0,0,2017-12-30
172,18,4028,4089,4286,2862,2816,3120,3166,87,138,0,0,2017-12-30
173,19,14020,14076,15065,8586,8218,10351,10591,269,399,0,0,2017-12-30
174,20,5361,5233,5798,3647,3755,3719,3933,115,157,0,0,2017-12-30
175,21,8957,9254,9715,5898,5719,7322,7262,194,278,0,0,2017-12-30
176,22,5941,6227,6391,3708,3451,3452,3450,93,126,0,0,2017-12-30
177,23,5680,5932,6444,2841,2776,2932,2976,99,144,0,0,2017-12-30
178,24,8042,8348,8733,4910,4635,4344,4374,137,173,0,0,2017-12-30
179,25,5254,5627,5834,3616,3515,2785,2771,79,97,0,0,2017-12-30
180,26,8823,9274,9695,5199,4964,4505,4409,131,191,0,0,2017-12-30
181,27,12057,12917,13891,10717,10799,5415,5410,220,292,0,0,2017-12-30
182,28,6484,6983,7286,4814,4762,2805,2813,129,181,0,0,2017-12-30
183,29,12631,13620,13933,10474,10275,6925,7009,241,349,0,0,2017-12-30
184,30,13809,15255,15638,9535,9207,8483,8626,303,434,0,0,2017-12-30
185,31,7441,8206,8867,5596,5622,4095,4201,118,199,0,0,2017-12-30
186,32,11662,12824,13455,6707,6362,6945,7063,247,333,0,0,2017-12-30
187,33,4067,4408,4492,2879,2817,3006,2962,80,87,0,0,2017-12-30
188,34,2836,2915,3177,1492,1490,2021,2076,65,79,0,0,2017-12-30
189,35,5577,5842,5989,3235,3064,4231,4290,80,125,0,0,2017-12-30
190,36,2437,2640,2885,1163,1115,1737,1806,56,65,0,0,2017-12-30
191,37,4945,5182,5459,2562,2544,3737,3835,90,124,0,0,2017-12-30
192,38,4957,5127,5418,3759,3745,3477,3397,106,130,0,0,2017-12-30
193,39,15296,15713,16736,11457,11207,10621,10765,276,375,0,0,2017-12-30
194,40,7019,7021,7749,5479,5535,4411,4503,131,182,0,0,2017-12-30
195,41,8429,8698,9338,7440,7416,5865,5911,179,276,0,0,2017-12-30
196,42,5482,5569,6233,4294,4480,3733,3900,108,159,0,0,2017-12-30
197,43,4944,5070,5498,3585,3691,3344,3344,103,147,0,0,2017-12-30
198,44,4906,5579,5633,3070,2921,3060,3150,64,109,0,0,2017-12-30
199,45,2244,2523,2599,2045,2058,1279,1315,19,35,0,0,2017-12-30
200,46,5471,6003,6293,3635,3597,2986,3014,91,129,0,0,2017-12-30
201,47,5195,5710,6060,4650,4680,2787,2940,100,157,0,0,2017-12-30
202,48,4842,5271,5469,3146,3151,2843,2914,100,115,0,0,2017-12-30
203,49,6037,6756,7037,3405,3270,3511,3560,108,176,0,0,2017-12-30
204,50,5672,6360,6465,3515,3365,3267,3335,93,137,0,0,2017-12-30
205,51,6681,6979,7394,4798,4835,3331,3193,100,140,0,0,2017-12-30
206,52,11328,11944,12636,8858,8521,6436,6322,209,276,0,0,2017-12-30
207,53,9644,10149,10640,6694,6411,5516,5546,180,223,0,0,2017-12-30
208,54,12982,13535,14160,8444,7935,7288,7287,231,296,0,0,2017-12-30
209,55,5838,6115,6421,5077,5149,2997,2961,89,114,0,0,2017-12-30
210,56,7696,7733,8468,5573,5722,3898,3885,148,215,0,0,2017-12-30
211,57,12016,13246,13224,8253,7681,6795,6799,174,242,0,0,2017-12-30
212,58,6465,7076,7248,5478,5346,4186,4162,96,168,0,0,2017-12-30
213,59,7489,7657,8248,6264,6206,5896,5591,121,177,0,0,2017-12-30
214,60,5223,5553,5728,3054,2998,4230,4060,67,120,0,0,2017-12-30
215,61,5414,5739,5817,3025,2788,4297,4104,68,98,0,0,2017-12-30
216,62,7054,7434,7432,5369,5037,5889,5695,79,125,0,0,2017-12-30
217,63,6543,6943,6976,4737,4553,5368,5015,124,152,0,0,2017-12-30
218,64,3754,3818,4011,2798,2832,2291,2264,50,80,0,0,2017-12-30
219,65,2877,3092,3199,1520,1507,1715,1722,38,61,0,0,2017-12-30
220,66,5782,6159,6345,2928,2731,3583,3576,64,91,0,0,2017-12-30
221,67,4707,5084,5068,2895,2574,3023,2924,78,115,0,0,2017-12-30
222,68,8758,9517,9471,6282,6078,5402,5196,124,198,0,0,2017-12-30
223,69,2481,2395,2667,1582,1566,1417,1464,39,60,0,0,2017-12-30
224,70,4701,4882,5104,3869,3789,2944,2944,87,113,0,0,2017-12-30
225,71,9203,9823,9840,6288,5917,6571,6421,168,234,0,0,2017-12-30
226,72,8353,8819,8912,6177,5881,5714,5644,102,190,0,0,2017-12-30
227,73,8632,8892,9460,7463,7442,6173,6136,179,240,0,0,2017-12-30
228,74,3010,3307,3448,1786,1720,2789,2745,44,79,0,0,2017-12-30
229,75,4536,5069,5196,2899,2577,3799,3757,77,127,0,0,2017-12-30
230,76,3060,3258,3423,2004,1914,2640,2687,35,76,0,0,2017-12-30
231,77,11948,12641,13648,6774,6497,10824,10832,179,289,0,0,2017-12-30
232,78,2817,3107,3112,1863,1704,2596,2523,40,78,0,0,2017-12-30
233,79,3547,3776,3885,2161,1984,3093,2941,42,80,0,0,2017-12-30
234,80,4748,4946,5171,2857,2718,2606,2652,71,105,0,0,2017-12-30
235,81,5892,6221,6413,3587,3377,3219,3362,73,113,0,0,2017-12-30
236,82,5201,5593,5926,2927,2983,2814,2923,100,120,0,0,2017-12-30
237,83,7615,8065,8223,4094,3742,4551,4610,118,165,0,0,2017-12-30
238,84,13755,14917,14942,8607,7816,8821,8967,185,261,0,0,2017-12-30
239,85,5928,6504,6809,3099,2889,2989,3163,79,114,0,0,2017-12-30
240,86,9370,10521,10258,5892,5393,4938,4901,98,142,0,0,2017-12-30
241,87,20898,22765,22076,15270,14200,11291,11457,257,327,0,0,2017-12-30
242,88,9385,10749,10478,8169,7566,5149,5151,63,93,0,0,2017-12-30
243,89,9654,10875,10501,5860,5344,5453,5646,85,147,0,0,2017-12-30
244,90,16379,18352,18270,10096,9607,10963,11264,278,351,0,0,2017-12-30
245,91,17041,19325,18999,10191,9553,11043,11476,253,319,0,0,2017-12-30
246,92,8940,10334,9930,5790,5237,6525,6772,101,162,0,0,2017-12-30
247,93,4495,4978,4974,3378,3234,3403,3477,61,87,0,0,2017-12-30
248,94,2607,2884,2958,2165,2184,1714,1661,39,57,0,0,2017-12-30
249,95,2574,2739,2720,1739,1634,1690,1608,51,77,0,0,2017-12-30
250,96,2489,2679,2649,2464,2342,1865,1648,33,44,0,0,2017-12-30
251,97,5238,5451,5733,3535,3177,3399,3435,89,125,0,0,2017-12-30
252,98,3457,3700,3812,3489,3433,2062,1986,44,64,0,0,2017-12-30
253,99,1601,1722,1695,904,833,1124,1089,25,25,0,0,2017-12-30
254,100,6618,7253,7409,5912,5674,6033,5835,111,180,0,0,2017-12-30
255,101,10439,11296,11475,9580,9308,9307,9002,185,293,0,0,2017-12-30
256,102,1116,1228,1237,800,733,1070,1044,12,21,0,0,2017-12-30
257,103,734,813,796,536,480,712,656,4,14,0,0,2017-12-30
258,104,5589,6266,6343,3451,3358,4684,4632,99,158,0,0,2017-12-30
259,105,3580,3744,3914,3787,3734,3129,3032,94,100,0,0,2017-12-30
260,106,8742,9566,9936,7349,6970,6792,6796,159,237,0,0,2017-12-30
261,107,4002,4528,4520,2960,2765,3662,3486,66,99,0,0,2017-12-30
262,108,4719,5122,5326,3144,2908,3459,3392,96,141,0,0,2017-12-30
263,109,5126,5494,5853,3557,3463,3428,3364,76,155,0,0,2017-12-30
264,110,4655,5036,5156,3885,3710,2961,2835,80,118,0,0,2017-12-30
265,111,4833,5374,5678,3515,3425,3553,3580,79,130,0,0,2017-12-30
266,112,5027,5420,5745,3252,3133,3445,3261,45,78,0,0,2017-12-30
267,113,3099,3288,3557,1422,1457,1962,1978,30,59,0,0,2017-12-30
268,114,2720,2919,2952,1837,1638,2314,2209,37,59,0,0,2017-12-30
269,115,3757,4017,4252,2467,2424,2930,2771,42,81,0,0,2017-12-30
270,116,3312,3575,3686,2207,2159,2349,2378,51,79,0,0,2017-12-30
271,117,5010,5365,5618,3481,3336,3484,3425,93,133,0,0,2017-12-30
272,118,3371,3696,3777,2011,1976,2454,2468,71,68,0,0,2017-12-30
273,119,4204,4557,4627,1989,1925,2775,2799,72,109,0,0,2017-12-30
274,120,6059,6536,6918,3967,3812,5124,5114,99,170,0,0,2017-12-30
275,121,4745,5271,5369,2786,2569,3793,3549,58,102,0,0,2017-12-30
276,122,3511,3728,3997,2150,2069,2922,2939,47,105,0,0,2017-12-30
277,123,4165,4465,4649,3076,2984,3329,3204,65,101,0,0,2017-12-30
278,124,6253,6765,6957,5336,5196,4287,4136,118,181,0,0,2017-12-30
279,125,4142,4620,4755,3619,3415,2602,2577,55,86,0,0,2017-12-30
280,126,4310,4586,4907,3860,3883,2653,2637,77,113,0,0,2017-12-30
281,127,2872,3046,3202,2123,2095,1980,1950,49,80,0,0,2017-12-30
282,128,5686,6151,6597,3294,3204,3480,3634,95,132,0,0,2017-12-30
283,129,5576,6008,6360,3446,3169,3664,3927,89,133,0,0,2017-12-30
284,130,2097,2230,2314,2075,2037,1143,1169,27,41,0,0,2017-12-30
285,131,4841,5094,5535,2773,2682,3049,3247,90,147,0,0,2017-12-30
286,132,5241,5743,6076,2955,3087,3485,3693,87,144,0,0,2017-12-30
287,133,4305,4608,4806,3351,3235,2876,2798,85,116,0,0,2017-12-30
288,134,3434,3807,3785,2070,1892,2536,2435,50,87,0,0,2017-12-30
289,135,3894,4305,4606,2601,2573,3016,3155,52,99,0,0,2017-12-30
290,136,2736,2967,3184,1752,1836,2102,2109,54,77,0,0,2017-12-30
291,137,2128,2294,2361,1103,1141,1641,1633,30,64,0,0,2017-12-30
292,138,7423,7961,8246,4741,4588,5343,5180,123,190,0,0,2017-12-30
293,139,12636,13798,13913,9458,9152,9256,8928,212,321,0,0,2017-12-30
294,140,9158,10384,10068,6354,5988,4703,4375,12,47,0,0,2017-12-30
295,141,2302,2562,2489,2043,1883,1493,1477,5,13,0,0,2017-12-30
296,142,2162,2408,2361,1749,1659,1025,891,9,6,0,0,2017-12-30
297,143,1759,1872,1875,1580,1543,1255,1236,24,22,0,0,2017-12-30
298,144,2038,2165,2224,1345,1254,1458,1450,35,58,0,0,2017-12-30
299,145,6230,6633,6750,4090,3914,4989,4865,107,157,0,0,2017-12-30
300,146,3325,3527,3662,2672,2794,2127,2052,54,72,0,0,2017-12-30
301,147,2712,3018,3018,2443,2313,1843,1662,28,50,0,0,2017-12-30
302,148,6931,7826,7893,5980,5704,4525,4193,76,116,0,0,2017-12-30
303,149,3249,3672,3610,2509,2252,2170,1990,28,59,0,0,2017-12-30
304,150,3172,3565,3539,3719,3573,1594,1455,27,49,0,0,2017-12-30
305,151,6309,6743,7124,4287,4133,4906,4715,63,128,0,0,2017-12-30
306,152,2735,2979,2949,1334,1223,2227,2011,21,40,0,0,2017-12-30
307,153,1558,1706,1725,903,867,1262,1195,20,21,0,0,2017-12-30
308,154,8864,9697,9924,5490,5177,6710,6342,98,158,0,0,2017-12-30