id,name,address,lat,lng,type,telepon_kecamatan
1,KARANG PILANG,"JALAN KARANG PILANG, SURABAYA, JAWA TIMUR",-7.337884,112.691007,KANTOR KECAMATAN,(031) 480 5015
2,WONOCOLO,"JALAN WONOCOLO, SURABAYA, JAWA TIMUR",-7.315959,112.74159,KANTOR KECAMATAN,(031) 401 5715
3,RUNGKUT,"JALAN RUNGKUT, SURABAYA, JAWA TIMUR",-7.323141,112.780057,KANTOR KECAMATAN,(031) 224 7236
4,WONOKROMO,"JALAN WONOKROMO, SURABAYA, JAWA TIMUR",-7.290106,112.724932,KANTOR KECAMATAN,(031) 881 9469
5,TEGALSARI,"JALAN TEGALSARI, SURABAYA, JAWA TIMUR",-7.28478,112.748822,KANTOR KECAMATAN,(031) 762 5872
6,SAWAHAN,"JALAN SAWAHAN, SURABAYA, JAWA TIMUR",-7.28265,112.722382,KANTOR KECAMATAN,(031) 143 7940
7,GENTENG,"JALAN GENTENG, SURABAYA, JAWA TIMUR",-7.253028,112.752033,KANTOR KECAMATAN,(031) 462 2113
8,GUBENG,"JALAN GUBENG, SURABAYA, JAWA TIMUR",-7.270275,112.758496,KANTOR KECAMATAN,(031) 305 6885
9,SUKOLILO,"JALAN SUKOLILO, SURABAYA, JAWA TIMUR",-7.296363,112.775934,KANTOR KECAMATAN,(031) 268 7223
10,TAMBAK SARI,"JALAN TAMBAK SARI, SURABAYA, JAWA TIMUR",-7.254907,112.759354,KANTOR KECAMATAN,(031) 276 8683
11,SIMOKERTO,"JALAN SIMOKERTO, SURABAYA, JAWA TIMUR",-7.24205,112.761414,KANTOR KECAMATAN,(031) 298 1443
12,PABEAN CANTIAN,"JALAN PABEAN CANTIAN, SURABAYA, JAWA TIMUR",-7.21386,112.738815,KANTOR KECAMATAN,(031) 876 3029
13,BUBUTAN,"JALAN BUBUTAN, SURABAYA, JAWA TIMUR",-7.249883,112.737467,KANTOR KECAMATAN,(031) 319 1761
14,TANDES,"JALAN TANDES, SURABAYA, JAWA TIMUR",-7.255923,112.678047,KANTOR KECAMATAN,(031) 570 3694
15,KREMBANGAN,"JALAN KREMBANGAN, SURABAYA, JAWA TIMUR",-7.229358,112.723194,KANTOR KECAMATAN,(031) 970 8400
16,SEMAMPIR,"JALAN SEMAMPIR, SURABAYA, JAWA TIMUR",-7.223908,112.751861,KANTOR KECAMATAN,(031) 350 9430
17,KENJERAN,"JALAN KENJERAN, SURABAYA, JAWA TIMUR",-7.223738,112.775722,KANTOR KECAMATAN,(031) 863 5040
18,LAKAR SANTRI,"JALAN LAKAR SANTRI, SURABAYA, JAWA TIMUR",-7.307515,112.664038,KANTOR KECAMATAN,(031) 487 8132
19,BENOWO,"JALAN BENOWO, SURABAYA, JAWA TIMUR",-7.250474,112.715126,KANTOR KECAMATAN,(031) 177 3482
20,WIYUNG,"JALAN WIYUNG, SURABAYA, JAWA TIMUR",-7.306181,112.685,KANTOR KECAMATAN,(031) 385 5096
21,DUKUH PAKIS,"JALAN DUKUH PAKIS, SURABAYA, JAWA TIMUR",-7.280365,112.704813,KANTOR KECAMATAN,(031) 968 5021
22,GAYUNGAN,"JALAN GAYUNGAN, SURABAYA, JAWA TIMUR",-7.329595,112.726384,KANTOR KECAMATAN,(031) 183 4921
23,JAMBANGAN,"JALAN JAMBANGAN, SURABAYA, JAWA TIMUR",-7.320995,112.714547,KANTOR KECAMATAN,(031) 420 5964
24,TENGGILIS MEJOYO,"JALAN TENGGILIS MEJOYO, SURABAYA, JAWA TIMUR",-7.321258,112.756905,KANTOR KECAMATAN,(031) 905 1944
25,GUNUNG ANYAR,"JALAN GUNUNG ANYAR, SURABAYA, JAWA TIMUR",-7.335012,112.780749,KANTOR KECAMATAN,(031) 946 7943
26,MULYOREJO,"JALAN MULYOREJO, SURABAYA, JAWA TIMUR",-7.263163,112.791166,KANTOR KECAMATAN,(031) 209 5283
27,SUKOMANUNGGAL,"JALAN SUKOMANUNGGAL, SURABAYA, JAWA TIMUR",-7.264864,112.693824,KANTOR KECAMATAN,(031) 964 9390
28,ASEMROWO,"JALAN ASEMROWO, SURABAYA, JAWA TIMUR",-7.236862,112.679372,KANTOR KECAMATAN,(031) 955 6209
29,BULAK,"JALAN BULAK, SURABAYA, JAWA TIMUR",-7.229393,112.790564,KANTOR KECAMATAN,(031) 280 4544
30,PAKAL,"JALAN PAKAL, SURABAYA, JAWA TIMUR",-7.236765,112.618077,KANTOR KECAMATAN,(031) 767 7767
31,SAMBI KEREP,"JALAN SAMBI KEREP, SURABAYA, JAWA TIMUR",-7.277506,112.647124,KANTOR KECAMATAN,(031) 422 2671